"NATIVE_SP","PLOT","FLAG","DAY","REMOVAL","ANT_SP","TEMP_START","TIME_COMPETE","TEMP_COMPETE","TIME_DISCOVER","TEMP_DISCOVER","TIME_RECRUIT","TEMP_RECRUIT","ANT_MAX","ANT_FINAL","COMPETE","ANT_COMPETE","ORIGIN"
"DI",1,"25",1,"DI","LH",43.5,NA,NA,26,35,83,30.5,150,150,"NO",0,"EXOTIC"
"DI",1,"25",2,"LH","DI",42,NA,NA,17,37.5,31,33,65,50,"NO",0,"NATIVE"
"DI",2,"9",1,"LH","DI",44,NA,NA,9,42,38,36.5,15,11,"NO",0,"NATIVE"
"DI",2,"9",2,"DI","LH",40,NA,NA,13,36,11,36.5,28,0,"NO",0,"EXOTIC"
"DI",2,"9",3,"NO","DI",43.5,NA,NA,9,42,75,32.5,22,22,"NO",0,"NATIVE"
"DI",3,"24",1,"NO","LH",38,NA,NA,1,38,7,38,330,330,"NO",0,"EXOTIC"
"DI",3,"24",2,"LH","DI",37,NA,NA,15,33,70,32,14,13,"NO",0,"NATIVE"
"DI",3,"24",3,"DI","LH",38,NA,NA,5,37.5,6,37,300,300,"NO",0,"EXOTIC"
"SX",1,"60",1,"LH","SX",45,NA,NA,110,29,11,28.5,170,170,"NO",0,"NATIVE"
"SX",1,"60",2,"SX","LH",45,NA,NA,112,31,5,32,130,130,"NO",0,"EXOTIC"
"SX",1,"60",3,"NO","SX",44,NA,NA,80,37,40,31,57,57,"NO",0,"NATIVE"
"SX",2,"17",1,"SX","LH",44.5,NA,NA,75,37.5,9,35,120,120,"NO",0,"EXOTIC"
"SX",2,"17",2,"LH","SX",40,NA,NA,20,38.5,3,37.5,150,31,"NO",0,"NATIVE"
"SX",2,"17",3,"NO","LH",45,NA,NA,93,33,23,27,80,79,"NO",0,"EXOTIC"
"SX",3,"38",2,"LH","SX",42,NA,NA,76,32,8,30,240,240,"NO",0,"NATIVE"
"SX",3,"38",3,"SX","LH",38,NA,NA,5,38,15,35.5,310,310,"NO",0,"EXOTIC"
"SX",4,"19",1,"LH","SX",38,NA,NA,5,36,10,34.5,200,200,"NO",0,"NATIVE"
"SX",4,"19",2,"SX","LH",38,NA,NA,95,34.5,25,30,120,120,"NO",0,"EXOTIC"
"SX",4,"19",3,"NO","LH",38,NA,NA,43,31.5,8,29,90,90,"NO",0,"EXOTIC"
"SX",5,"43",2,"LH","SX",45,NA,NA,62,32.5,43,29,50,50,"NO",0,"NATIVE"
"SX",5,"43",3,"SX","LH",45,NA,NA,8,45,17,26.5,170,170,"NO",0,"EXOTIC"
"FM",1,"18",1,"NO","LH",42,NA,NA,17,39,9,38,260,260,"NO",0,"EXOTIC"
"FM",1,"18",2,"FM","LH",41,NA,NA,48,36,12,35.5,160,140,"NO",0,"EXOTIC"
"FM",1,"18",3,"LH","FM",45,NA,NA,5,43.5,NA,NA,1,0,"NO",0,"NATIVE"
"FM",2,"53",1,"FM","LH",40,NA,NA,54,35.5,49,31,65,65,"NO",0,"EXOTIC"
"FM",2,"53",2,"LH","FM",38,NA,NA,51,35.5,NA,NA,1,0,"NO",0,"NATIVE"
"FM",2,"53",3,"NO","LH",40,NA,NA,34,37.5,12,32,250,250,"NO",0,"EXOTIC"
"PV",1,"37",1,"PV","LH",45,NA,NA,23,42.5,16,42,80,130,"NO",0,"EXOTIC"
"PV",1,"37",2,"LH","PV",44.5,NA,NA,87,33,9,30,70,70,"NO",0,"NATIVE"
"PV",1,"37",3,"NO","LH",42,NA,NA,14,40,14,38,110,110,"NO",0,"EXOTIC"
"PV",2,"20",1,"LH","PV",44.5,NA,NA,7,43.5,11,41,300,300,"NO",0,"NATIVE"
"PV",2,"20",2,"PV","LH",44,NA,NA,43,36,16,35,200,200,"NO",0,"EXOTIC"
"PV",2,"20",3,"NO","LH",42,NA,NA,86,31,13,32,150,150,"NO",0,"EXOTIC"
"DI",4,"38",1,"NO","LH",44.5,NA,NA,36,40,8,39.5,90,90,"NO",0,"EXOTIC"
"DI",4,"38",2,"DI","LH",43.5,NA,NA,72,33,9,31,130,130,"NO",0,"EXOTIC"
"DI",4,"38",3,"LH","DI",43.5,NA,NA,3,43.5,55,34,23,23,"NO",0,"NATIVE"
"FM",3,"61",1,"LH","FM",41,NA,NA,72,34,NA,NA,1,0,"NO",0,"NATIVE"
"PV",4,"Near 38",1,"PV","LH",43.5,NA,NA,2,48,11,44.5,660,500,"NO",0,"EXOTIC"
"PV",4,"Near 38",3,"LH","PV",42,NA,NA,45,28.5,20,30.5,30,7,"NO",0,"NATIVE"
"PV",5,"39-40",2,"LH","PV",44,NA,NA,22,37.5,NA,NA,2,0,"NO",0,"NATIVE"
"PV",5,"39-40",3,"PV","LH",42,NA,NA,21,40,21,35,480,370,"NO",0,"EXOTIC"
"DI",5,"33",1,"LH","DI",40,NA,NA,2,40,45,35,27,27,"NO",0,"NATIVE"
"DI",5,"33",2,"DI","LH",42,NA,NA,22,39,11,38,250,250,"NO",0,"EXOTIC"
"FM",3,"61",2,"FM","LH",40,NA,NA,23,38,19,37,200,200,"NO",0,"EXOTIC"
"FM",4,"47",1,"NO","LH",43,NA,NA,32,38,16,37.5,250,250,"NO",0,"EXOTIC"
"FM",4,"47",2,"FM","LH",39,NA,NA,15,38,11,38,150,150,"NO",0,"EXOTIC"
"FM",4,"47",3,"LH","FM",41,NA,NA,7,41,NA,NA,1,0,"NO",0,"NATIVE"
"PV",3,"59",3,"NO","LH",41,NA,NA,33,36.5,19,36,230,230,"NO",0,"EXOTIC"
"PV",3,"59",1,"PV","LH",45,NA,NA,32,40.5,18,38,350,350,"NO",0,"EXOTIC"
"PV",3,"59",2,"LH","PV",43,NA,NA,52,35,9,34,350,350,"NO",0,"NATIVE"
"DI",1,"25",3,"NO","DI",40,8,32,4,38,30,34,16,0,"YES",1,"NATIVE"
"SX",3,"38",1,"NO","LH",40,7,35,18,35,NA,NA,6,0,"YES",1,"EXOTIC"
"SX",5,"43",1,"NO","LH",37,15,28,30,32,NA,NA,8,0,"YES",1,"EXOTIC"
"PV",4,"Near 38",2,"NO","LH",42.5,9,34,0,42.5,8,33,600,270,"YES",1,"EXOTIC"
"PV",5,"39-40",1,"NO","PV",45,62,28,5,45,16,41.5,32,0,"YES",1,"NATIVE"
"DI",5,"33",3,"NO","DI",40,7,36,6,39.5,NA,NA,3,0,"YES",1,"NATIVE"
"FM",3,"61",3,"NO","FM",40,NA,NA,6,40,NA,NA,1,0,"YES",1,"NATIVE"
"DI",1,"25",3,"NO","LH",40,8,32,105,34,30,30.5,170,170,"YES",2,"EXOTIC"
"SX",3,"38",1,"NO","SX",40,7,35,24,34,5,35,220,220,"YES",2,"NATIVE"
"SX",5,"43",1,"NO","SX",37,15,28,60,27.5,14,27,100,10,"YES",2,"NATIVE"
"PV",4,"Near 38",2,"NO","PV",42.5,9,34,35,34,NA,NA,1,0,"YES",2,"NATIVE"
"PV",5,"39-40",1,"NO","LH",45,62,28,13,43,13,39,430,430,"YES",2,"EXOTIC"
"DI",5,"33",3,"NO","LH",40,7,36,22,36,15,35,180,180,"YES",2,"EXOTIC"
"FM",3,"61",3,"NO","LH",40,NA,NA,52,35,9,34.5,300,300,"YES",2,"EXOTIC"
